Tom is ill.	汤姆生病了。
Here is the bill.	这是账单。
Tom is overweight.	汤姆超重了。
Why do you let Tom treat you that way?	你為甚麼讓湯姆那麼對待你？
Tom ate a slice of pizza.	湯姆吃了一片比薩餅。
She is a famous singer.	她是一个著名的歌手。
He would often come to see us when I was a child.	當我還是個孩子時，他經常來看望我們。
He hasn't answered my letter yet.	他还没回我的信。
She was only frightened, not injured.	她只是被嚇到了並沒有受傷。
Tom told me he had lost his textbook.	汤姆告诉我他丢了课本。
Can I ask you a question?	我可以問您一個問題嗎？
I found the book very interesting.	我覺得這本書非常有趣。
Is he going to swim tomorrow? "Yes, he is."	“他明天去游泳吗？” “没错”
Prices are double what they were two years ago.	價格是兩年前的兩倍。
Leave my camera alone.	別碰我的相機。
He leaves for China tomorrow.	他明天出发去中国。
I'm too tired to walk any further.	我累得再也走不動了。
Do you subscribe to any magazines?	你有訂閱任何雜誌嗎？
A true scientist would not think like that.	一个正确的科学家不会那样想。
I was planning on going to the beach today, but then it started to rain.	我本来预备今天去海滩的，但接着天就开始下雨了。
I'm willing to help him.	我願意幫他。
Step aside.	让开。
I'll let you know when I've figured it out.	我搞明白了会告诉你。
Thanks for the updates.	谢谢提供新消息。
The waves crashed against the rocks.	浪拍在岩石上。
I take full responsibility for the action.	我會為這次行動負起全責。
I think Tom is athletic.	我认为汤姆好运动。
He missed the last train.	他错过了最后一班火车。
Old people get up very early.	老人們很早就起床。
Tom certainly is an eloquent speaker.	汤姆的确是个很会讲话的人。
Mary set the basket on the table.	瑪麗把籃子放在桌子上了。
Tell me where to put these books.	告訴我這些書要放在哪裡。
Tom tried to kill Mary.	汤姆试着杀死玛丽。
I have a cough and a little fever.	我咳嗽，还有点发烧。
We gave him up for dead.	我們為死者放棄了他。
What's my room number?	我的房间号是多少？
It's none of your business.	這不關你的事。
He studies English, but he's also studying German.	他学英语，但他也学德语。
That's not what I told Tom.	那不是我對湯姆說的。
I slipped the letter to him.	我悄悄把信给了他。
Do you have a lot of money with you?	你身上有很多钱吗？
How much money do I owe you?	我欠你多少錢？
You'd better go to bed at once.	你最好马上去睡觉。
His story can't be true.	他的故事不可能是真的。
Come to my house this afternoon.	今天下午到我家来一趟。
Are you sure you haven't forgotten anything?	你確定你沒有忘記什麼嗎？
We were attacked from both sides.	我們被兩面夾擊了。
If it looks like an apple and it tastes like an apple, it's probably an apple.	如果看起来像个苹果而且吃起来也像苹果的话，可能就是苹果。
I am not frightened of anything.	我不害怕任何東西。
She loved me in the same way that I loved her.	她愛我就像我愛她一樣。
Tom could've figured that out without any help.	汤姆能不依靠任何帮助解决那事。
We know what we're doing.	我們知道我們在做什麼。
I feed my cat every morning and every evening.	每天早晚，我给我的猫喂食。
He's just gone on leave.	他剛請假走了。
I was very confused by his questions.	我對他的問題感到非常困惑。
Tom is already used to that.	汤姆已经习惯了。
Help yourself to a piece of cake.	你自己拿蛋糕吃吧。
She saw herself in the mirror.	她看到鏡子裡的自己。
The old man is very kind.	這位老人家非常仁慈。
Tom wouldn't let anyone else in the room.	汤姆不让任何人进房间。
Who is next?	下一个是谁？
You chose this job yourself, right?	你自己选择了这份工作，是吗？
He failed the exam, but he doesn't care too much.	他考试失败了，但他不太在意。
How late did you stay at the party last night?	昨晚的派對你待到多晚？
I'll do what I can to help you.	我會盡力幫你。
I met her late in the evening.	我在深夜遇見了她。
This is what I want.	这就是我想要的。
She takes a shower every morning.	她每天早上都冲澡。
I'm from Boston.	他來自波士頓。
She made cookies for the children.	她為孩子們做了餅乾。
There are more clouds today than yesterday.	今天的雲比昨天的多。
The train came on time.	火车准时到了。
We're very disappointed in you.	我们对你很失望。
Your English has improved a lot.	你的英語進步了很多。
It will be spring soon.	春天快來了。
How did you draw this picture?	你怎么画这幅画？
The river's water level has risen.	河的水位上升了。
What's your name?	您叫什么名字？
You only started this job an hour ago.	你仅仅是一个小时前才开始这份工作的。
You can always count on Tom.	你可以永遠信賴湯姆。
Tom died.	汤姆去世了。
I don't believe you. You're always telling lies.	我不相信你。你总是说谎。
I needed to speak to you about something.	我需要跟你說點事。
I think I have a question.	我覺的有一個問題。
Mom is preparing a meal in the kitchen.	媽媽正在廚房裡做飯。
It was nice meeting you here.	在这里见到您真是太好了。
Tom is exaggerating.	汤姆在吹嘘。
There was a minute of silence and then everybody started screaming.	有一分钟的沉默，然后每个人都开始尖叫。
These fireworks are spectacular!	这些焰火真壮观！
I have to take my medicine every six hours.	我每六小时要服一次药。
You must answer these questions.	你必須回答這些問題。
She's my older sister.	她是我的姐姐。
Other than Sundays, I work every day.	除了星期天我每一天都工作。
Tom and I sat on a bench in the park and talked while we fed pigeons.	我和汤姆在公园的长椅上坐着，一边聊天一边喂着鸽子。
This is my page on Facebook.	這是我的Facebook頁面。
Do you know which road leads to my house?	你知道哪一條路到我家嗎?
Is she a computer programmer?	她是个女程序员吗？
Spring will be here soon.	春天快來了。
Help us.	帮帮我们吧！
I don't know how to handle children.	我不知道如何對待孩子。
How many people have you told?	你跟多少人说了？
The bike parked over there is my brother's.	那邊停著的那輛自行車是我哥哥的。
I wish you had come with us.	要是你和我們一起來就好了。
Is he Japanese?	他是日本人吗？
Let's sit on the grass.	我们坐在草地上吧。
The sun sets in the west.	太阳在西边落下。
Tom is in the living room with Mary.	汤姆和玛丽在客厅里。
She is a well-known singer.	她是一个著名的歌手。
I can neither confirm nor deny that.	我既不能确认也不能否定。
Do you promise?	你保证？
She isn't afraid of death.	她不怕死。
Don't you feel cold?	你不冷吗？
They believe in a life after death.	他們相信來世。
Is Tom swimming?	汤姆在游泳吗？
She is mad at me.	她跟我生气了。
He doesn't have any knowledge about American democracy.	他一点都不知道美国的民主。
I've always been proud of you.	我一直以您为荣。
What do you think I was doing?	你觉得我在干吗呢？
I can not bear this noise any more.	我无法再忍受那噪音了。
There is no knowing what he will do next.	没有人知道他接下来会干什么。
I could hear dogs barking all night.	我整夜都能听到狗叫。
Excess of politeness is annoying.	禮貌過度是煩人的。
Tom was a little drunk.	汤姆有点醉。
I'm glad to see you again.	很高興再次見到你。
Can I speak with the teacher?	我能和老师说话吗？
I bought a new computer last month.	上个月我买了一台新电脑。
An argument may be logically sound without being true.	不正确的命题听起来可能符合逻辑。
I bought this book the other day.	我前幾天買了這本書。
He is good at driving.	他擅長駕駛。
You should be able to manage it.	你应该能解决。
Where did you find my umbrella?	你们在哪找到我的雨伞的？
I admire you for your courage.	我佩服你的勇氣。
He is richer than anyone else in this town.	他比镇里的其他人都有钱。
I'd like to listen to pop music.	我想要聽流行音樂。
We got behind the car and pushed.	我們到車子後面推車。
Have you finished reading that book?	你读完那本书了吗？
I need a pencil. Can I use one of yours?	我需要一支铅笔，我能用你的其中一支吗？
I asked him what his name was.	我問了他叫什麼名字。
That white dress looks good on you.	你穿那件白色的衣服很好看。
Feel free to ask any questions.	隨時問任何問題都可以。
I'm sure that he'll come on time.	我確定他會準時來。
You have no need to be ashamed.	你不需要害羞。
Almost everybody was invited.	幾乎每個人都被邀請了。
The explosion may have been caused by a gas leak.	這場爆炸有可能是瓦斯外洩引起的。
Fluency in English is a must.	流利的英語是必須的。
All of the milk was spilled.	所有的牛奶都灑出去了。
You look very good.	你看上去很好。
A beautiful woman was seated one row in front of me.	一個美麗的女人坐在我前面一排。
I want to go and change into that shirt I bought yesterday.	我想去換我昨天買的這件襯衫。
You need to pay extra for the batteries.	电池要额外付钱。
What do you call this?	这个叫什么？
I met your girlfriend.	我見過你的女朋友。
I want to study French.	我要学法语。
What time does your plane leave?	你的飛機什麼時候起飛？
I was about to leave when you came in.	你来的时候我刚好要走。
Charles Lindbergh made the first solo flight across the Atlantic Ocean in 1927.	Charles Lindbergh於1927年成功完成了第一次獨自飛越大西洋。
We guarantee our products for one year.	我們保證我們的產品一年。
I'm really tired.	我累死了。
The school will provide tents for us.	学校会提供帐篷给我们。
I really enjoyed last night.	我昨晚真盡興。
It was a warm day.	天氣暖和。
I do not know for certain when he will come.	我不确定他什么时候来。
How do you feel? he asked.	“你感觉怎么样？”他问。
There is a knife missing.	少一把刀。
They are high school students.	他們是高中生。
I'll only buy the car if they fix the brakes first.	除非他们事先修好刹车，我才会买车子。
I've lost my umbrella.	我丢了我的伞。
He bought her a sweater.	他買了一件毛衣給她。
She spoke Japanese well.	她日语说的很好。
I'm free!	我自由了！
I'll help you escape.	我会帮你逃跑的。
He built an observatory to study the stars.	為了觀測星象，他建了一座瞭望台。
What size shoes do you wear?	你穿幾號的鞋子?
Were you a soldier?	你是士兵嗎？
She had already gone when I arrived.	當我到的時候，她已經走了。
I enjoy running.	我喜欢跑步。
The weather forecast says it will be fine tomorrow.	根據氣象預報，明天會是晴天。
I'm scared of dentists.	我怕牙醫。
He may not be happy.	他可能不高兴。
Having missed the train, I had to wait about an hour for the next one.	由于错过了火车，我不得不等下一班等一小时。
I like pizza very much.	我非常喜歡比薩。
I'm really surprised you got a prize.	我很惊讶你得了奖。
Don't pull my leg!	不要拉我的腿！
She is a wonderful woman.	她是個很棒的女人。
Four hundred million people speak English as their first language.	四億人以英語作為他們的第一語言。
We failed due to a lack of preparation.	我們因缺乏準備而失敗了。
How long have you been working here?	从什么时候开始您就这里工作着的呢？
Let us go home.	让我们回家吧。
Now is the time to act.	现在是行动的时候了。
I was hot, so I switched on the fan.	我很熱，就把電風扇打開了。
Tom lost his job.	湯姆丟了工作。
What are your hobbies?	你的爱好是什么？
I don't mind walking in the rain.	我不介意在雨中漫步。
We're going to eat now.	我們現在就要吃飯。
I was always good at English.	我一直都擅長英文。
Tom is a distant relative of mine.	湯姆是我的遠亲。
How am I going to explain this?	我要怎麼解釋？
I live near the sea, so I often go to the beach.	我住在海边所以经常去海滩。
What's your telephone number?	你电话号码是多少？
Christmas is December 25th.	聖誕節是12月25日。
Leave the room immediately.	馬上離開房間。
I want the same jacket as you are wearing.	我也想要和你身上那件同样的外套。
He wiped the sweat off his face.	他擦去了脸上的汗水。
Can you stay for a while?	你能待一会吗？
He wants to be a tennis player.	他想成為一名網球選手。
Cars are expensive.	车子很贵。
Mother Teresa was given the Nobel prize.	特蕾莎修女被授予諾貝爾獎。
She had a pleasant dream last night.	她昨晚做了个美梦。
She folded up the towels and put them away in the cupboard.	她把毛巾折叠好再放入柜子里。
Tom put his hand over the microphone.	汤姆把手放在麦克风上。
I'm from Sapporo.	我來自札幌。
There's only one window in my room.	我的房間裡只有一个窗戶。
Were you happy?	你开心吗？
I'm not as optimistic as you.	我没有你那么乐观。
Is this the key you are looking for?	这是你找的钥匙吗？
This job doesn't pay.	这个工作没有酬劳。
Stop resisting!	停止抵抗！
He never goes out late at night.	他從不在深夜出門。
His death was a great loss to our firm.	他的死对我们公司是一个巨大的损失。
I wish I earned more money.	我希望我賺更多的錢。
It's a good deal.	这是一笔不错的交易。
Blondes earn 7% more than women with any other hair color.	金髮女郎比其他顏色頭髮的女人多賺7％。
I think it's OK.	我想沒關係。
I want beef, too.	我也要牛肉。
Beauty's in the eye of the beholder.	美驻留在看的那个人的眼里。
My brother wants to study abroad.	我哥哥要出國唸書。
It is easy to swim.	游泳很簡單。
Did you get my letter?	你收到了我发的邮件了吗？
I had no idea it would put you to so much trouble.	我一点都不知道这会给你带来那么多问题。
Where did you guys go?	你们这些家伙去哪儿了？
Is Tom really a nice guy?	汤姆是个好人吗？
She cried all night.	她一整晚都在哭。
The job offer still stands.	這份工作錄取仍然有效。
I met her in London for the first time.	我第一次遇见她是在伦敦。
There are a lot of books in the library.	圖書館裡有很多書。
I'm sorry that I didn't reply to you sooner.	抱歉，我沒有早點回覆你。
You understand, don't you?	你明白，不是嗎？
It doesn't surprise me.	这并不让我惊讶。
Did somebody hit Tom?	有人打汤姆了吗？
I can open the window.	我可以打開這扇窗。
Tom is probably pretty rich by now.	汤姆现在可能很有钱。
He takes a walk every morning.	他每天早上都散步。
You could say that.	这么说也可以。
I got up early as usual.	我和往常一样起得很早。
He made her a bookshelf.	他做了一個書架給她。
Don't sign the contract in pencil.	别用铅笔签合同。
What kind of stone is this?	这是什么石头？
I don't have money now.	我现在没有钱。
I don't want to go there. He doesn't want to go either.	我不想去那儿，他也不想。
He is a bit like his father.	他有点像他的父亲。
He comes from England.	他从英国来。
She is hard up for money.	她錢不夠。
I'll be your first patient.	我將是你的第一個病人。
Can we roller-skate in this park?	我們可以在這個公園裡玩四輪溜冰嗎?
Your son is dating my daughter.	你儿子正在和我女儿约会。
Winter is just around the corner.	冬季快來了。
The sun always rises in the east.	太陽總是從東方升起。
Keep Tom safe.	确保汤姆安全。
Tom has been sick in bed for three weeks.	汤姆已经因病卧床三周了。
After she had read the letter, she tore it to pieces.	看了信之後，她把它撕成碎片。
Tom bought a camera at a store not too far from here.	Tom在离这里不远的一家商店里买了一台相机。
I like sports.	我喜歡運動。
We work together.	我们一起工作。
They love each other.	他們彼此相愛。
The bank is not open on Saturdays.	银行星期六不营业。
We went to the races.	我们去看了比赛。
I am sure of his success.	我肯定他会成功的。
So, what happened this time?	那么，这次发生了什么？
He comes here almost every day.	他几乎每天都来。
We just moved in.	我們才剛搬進來。
If you don't hurry, you'll miss the train.	如果你不抓紧的话，你就会赶不上火车。
Children don't like to go out in the dark.	孩子們不喜歡摸黑外出。
Please come.	请来吧。
The patient is steadily recovering.	這個病人正在穩定地康復中。
I'll try to find them for you.	我会努力帮你找到他们。
I accompanied her on the piano.	我彈鋼琴為她伴奏。
What's the weather like now?	现在的天气怎么样了？
Please turn on the radio.	請打開收音機。
That boy is running.	那个男孩在跑步。
Tom did an excellent job.	汤姆做得很出色。
Her mother passed away last year.	她的母親去年去世了。
He was forced to work overtime.	他被迫加班。
How cute!	多可爱啊！
I don't really think Tom needs to do that.	我真的不认为汤姆有必要那么做。
I hope I can do that before I die.	我希望我能在死前做一次。
Where can I go to get a map of Europe?	去哪里可以买到欧洲的地图？
A bird in the hand is worth two in the bush.	一鳥在手勝過二鳥在林。
Are you sure you don't want to sleep on it?	你確定你不想睡在它上面嗎？
You don't need a gun.	你不需要枪。
I cut myself shaving this morning.	我今天早上刮鬍子的時候把自己弄傷了。
Tofu goes well with good sake.	豆腐配清酒很合適。
He managed to get there in time.	他設法及時到達那裡了。
Keep the dog out.	别让狗进来。
I'm very hungry.	我好饿。
He introduced his daughter to me.	他把他的女兒介紹給我認識。
What does it mean?	这是什么意思？
Wash the dishes.	把盤子洗了。
Tom is in the living room, sleeping on the couch.	汤姆在客厅，躺在长沙发上睡觉。
I took a shower.	我洗了澡。
Could I borrow a pencil?	我能借支铅笔吗？
Why on earth did you sell your newly-built house?	你到底为什么把你新建的房子卖了？
Has he finished his homework yet?	他完成他的功課了嗎？
Germany was once allied with Italy.	德国曾是意大利的同盟国。
The balloon was caught in the tree.	這顆氣球被樹絆住了。
You made a wise choice.	你做了一個明智的選擇。
Do you know where Tom lives?	你知道汤姆住哪儿吗？
Tom passed away on October 20th, 2013.	汤姆逝世于2013年10月20日。
We'll meet again.	后会有期。
What does he want to do?	他到底想干嘛？
How did you get there?	你怎麼到那的？
You are old enough to know better than to act like that.	你夠大了知道不要那樣做。
This car was so cheap that he could afford it.	這車便宜得讓他能買得起。
You don't like sashimi, do you?	你不喜歡生魚片，是嗎？
This is an exception to the rule.	这是一个例外。
We are against working on Sundays.	我们反对星期日工作。
He fell down on the floor.	他摔倒在地。
I want him to read this.	想让他读这个。
We're on our own.	我们得依靠自己。
What color is your new car?	你的新車是甚麼顏色的？
Please tell me.	請告訴我。
I am interested in this story.	我對這個故事感興趣。
Give me a little money.	给我一点钱。
What's the weather like today?	今天天气怎么样？
Are you mad?	你生气了吗？
Do I need surgery?	我需要做手术吗？
He will be very busy next month.	下个月他会很忙。
Plastics have taken the place of many conventional materials.	塑料代替了许多传统的原料。
A huge monster is coming down the mountain.	从山上走来一只巨大的怪物。
Mary tied an apron around her waist and then took the turkey out of the oven.	玛丽把围裙系在她的腰上，然后把火鸡从烤箱里拿出来了。
Tom is waiting for Mary to return.	汤姆正在等着玛丽回来。
He had no idea why his wife left him.	他不知道为什么他的妻子要离开他。
Close the door, please.	請關門。
I'll lend you my notebook.	我會借給你我的筆記本。
How large is the population of New York City?	纽约市的人口有多少？
He was not at all satisfied.	他完全不滿意。
I worked hard last month.	我上個月很努力工作。
I made him paint the house.	我讓他刷房子。
The president is difficult to approach.	总统很难接近。
I'm not as strong as I used to be.	我不跟以前一樣強壯了。
He had his wallet stolen.	他的钱包被偷了。
Which book is better?	哪一本書比較好？
Tom looked like he was certain.	汤姆看起来很肯定。
I told you never to come here again.	我告诉过你不要再来这里了。
I guess that's how Tom found me.	我猜那就是汤姆找到我的方法。
Tom wants to learn boxing, but his mother thinks it's too dangerous.	汤姆想学拳击，但他妈妈觉得这太危险了。
There is no fire without smoke.	沒有不冒煙的火。
Do you know of any good restaurant near here?	你知道这儿附近有什么好餐馆吗?
I have a bicycle.	我有一輛自行車。
The lightning lit up the sky.	闪电照亮了天空。
Tom worries a lot about money.	汤姆很担心钱的问题。
I know her very well.	我非常了解她。
If you could go back and start your life again, from what age would you like to start?	假如能回到过去让人生再来一遍的话，你希望能回到几岁的时候？
I have eight brothers and sisters.	我有八個兄弟姐妹。
Tom isn't going to stop.	湯姆不會停。
I agreed with him on the plan.	對於這個計劃我同意他的意見。
Would you pass the mashed potatoes, please?	你能给我土豆泥吗？
Tom shaves three times a week.	湯姆每週刮臉三次。
Tom hasn't talked to Mary in years.	汤姆多年没有和玛丽说话了。
I couldn't stop myself from laughing.	我不能忍著不笑。
Catch him.	抓住他。
He went to Nagoya on business.	他到名古屋洽談業務。
He became a pianist.	他成為了一個鋼琴家。
Life would be impossible without the sun.	沒有太陽就沒有生命。
She kept me waiting for half an hour.	她让我等了半小时。
I am playing volleyball now.	我现在在打排球。
Tom has plenty of friends to help him.	汤姆有很多朋友去帮助他
Everybody except Tom knew that he didn't need to do that.	除了汤姆以外任何人都知道他没必要这么做。
I had no trouble finding his office.	我毫不费劲就找到他的公司。
No way!	不可能！
I don't understand music.	我不懂音乐。
We happened to be on the same train.	我们偶然乘上了同一辆列车。
You must be at the station by 5 o'clock.	五點以前你必須在車站。
Children generally have a higher body temperature than adults.	小孩的体温一般比大人的要高。
Did you watch TV tonight?	你今晚看電視了嗎？
I think you went too far.	我觉得您过火了。
He got hurt when he fell down.	他跌倒的時候受了傷。
I've got things under control.	我控制住了。
Have you ever eaten Japanese food?	你吃過日本料理嗎？
Two for the lunch buffet, please.	兩人份自助午餐，謝謝。
Would you like to be my friend?	你想做我的朋友嗎？
He was too young to live alone.	他太年輕了無法獨自生活。
The school is located within five minutes' walk of the station.	學校坐落於距離車站步行五分鐘的地方。
Divide the pizza in three.	把披薩分成三份。
Don't go to extremes.	别走极端。
We have to pick a name for the child.	我們要給孩子起個名字。
I love nature.	我愛大自然。
Ghosts exist.	鬼魂是存在的。
I'm never coming back here again.	我不会再回来了。
I'm eating rice.	我在吃米饭。
Whenever I hear that song, I remember my youth.	每次听到这首歌，都会让我回忆起自己年轻的时候。
What a good idea!	多好的主意啊！
Be still.	静静的，别动。
I want to have a cup of coffee.	我要一杯咖啡。
Fresh food is wonderful.	新鮮的食物最棒了。
I'm not sure Tom would help.	我不確定湯姆能不能幫忙。
Smoking affects your health.	吸烟有害健康。
When did you graduate from high school?	你什麼時候中學畢業?
Take care.	照顾好自己。
Is Tom an actor?	汤姆是演员吗？
That's an original idea.	那是原创的想法。
You have three minutes to surrender.	限你三分鐘內投降
Why don't we go home?	我们何不回家呢？
Thanks to both of you.	感谢你们两位。
We sometimes see them.	我們有時會看見他們。
Detroit is famous for its car industry.	底特律因它的汽车工业而出名。
You look bored.	你看起來很無聊。
If there was no sun, all the animals would be dead.	如果没有太阳，那所有生物都会死。
I got up at six this morning.	我今天早上六點起床。
You haven't asked me anything.	你什么都没问我。
I can't understand why you are so critical of him.	我不明白为什么你这么批评他。
Tom is in the shower.	Tom在洗澡。
Grammar is a very complex thing.	语法是很复杂的。
There was a cottage on the side of the hill.	山坡上有一个茅屋。
He is confined to bed now.	他现在卧床不起。
We have little chance of winning.	我們獲勝的機會很少。
War is not inevitable.	战争并非不可避免。
There was no one there besides me.	那儿除了我，一个人都没有。
An elephant has a long nose.	大象有長鼻子。
I'm sorry, but I can't answer right away.	我很抱歉，但我無法立即回答。
Tom stood behind me.	汤姆站在我后面。
I am looking forward to Christmas.	我期待聖誕節的到來。
Broccoli is one of the healthiest vegetables.	西藍花是最健康的蔬菜之一。
She looked away.	她轉移了視線。
Do you like rap?	你喜欢说唱音乐吗？
Tom wants to know more about Mary's past.	汤姆想要知道更多关于玛丽的过去。
I don't understand.	不明白。
You'd better not have eaten the cake.	你最好不要吃了蛋糕。
Mary has as attractive a personality as her sister.	玛丽性格很好，就像她姐姐一样。
What's done can't be undone.	覆水難收。
Do you study every day?	您每天都讀書嗎？
She sent this book to me.	她寄這本書給我。
Let them learn from us.	让他们向我们学习。
I'd like to see you tomorrow.	明天我想见你。
I'm having some problems compiling this software.	我编译这个程序有些困难。
This really is a masterpiece.	这真是个杰作。
I want to believe in Tom.	我要相信湯姆。
Tom followed.	汤姆跟着。
I would have liked to come with you, but I didn't have time.	我想和你一起去，但是我没有时间。
President Lincoln was what we call a self-made man.	林肯總統就是我們所謂白手起家的男人。
You're always busy.	你一直忙。
In Canada, there are many areas where it is illegal to log trees.	在加拿大有很多區域砍伐樹木是非法的。
What's your favorite drink?	你最喜欢的饮料是什么？
There's no need to hurry.	沒有必要著急。
We have to try to communicate with them.	我们要设法跟他们交流。
Tell me you didn't do this.	告诉我你没有这么做。
Do you feel any pain in your stomach?	你的胃會痛嗎?
Your dog is very big.	您的狗非常胖。
If you pass this test, you could graduate next month.	如果你通過這個考試，你下個月就可以畢業了。
I'm afraid of dentists.	我怕牙醫。
Do you think Tom will show up?	你認為湯姆會出現嗎？
I can't afford to buy that.	我买不起那个。
I suspect Tom is tired of doing that.	我怀疑汤姆已经厌烦这么做了。
We've not done well.	我们没有做好。
I am a student of this school.	我是这个学校的学生。
That's the stupidest thing I've ever said.	那是我说过的最愚蠢的话了。
How do you make a box?	你怎么做箱子？
It can't be true.	那不可能是真的。
She gave in to the temptation.	她屈服於誘惑了。
Tom and I are in the same class.	湯姆和我在同一個班裡。
Today is Valentine's Day.	今天是情人节
He was run over by a car.	他被車輾過了。
Hope is not a strategy.	希望不是一种策略。
It is an hour's drive from here to there.	从这里到那里驾车一小时。
Do you think you could make a little less noise?	你觉得你能少发点噪音吗？
Tom opened the blinds and looked out the window.	汤姆打开百叶窗，向窗外望去。
What steps should we take?	我们应该走出什么样的步伐。
Tom doesn't know if Mary is happy or not.	汤姆不知道玛丽是高兴呢，还是不高兴。
The party was a success.	晚会很成功。
I like playing baseball.	我喜歡打棒球。
What's the idea behind that?	那背后是什么意思？
She kept working.	她不停地工作。
Please help yourself to the cake.	你们自己吃蛋糕。
Can you pass me the salt, please?	請你把鹽遞給我好嗎？
What sound does a giraffe make?	长颈鹿是怎么叫的？
Which one will he choose?	他會選哪個？
I spilled my coffee on the carpet.	我把咖啡倒翻在地毯上了。
This sentence is ambiguous.	此句有歧義
Why did you buy such an expensive dictionary?	为什么你买了一本那么贵的词典？
I know how to set a trap.	我知道怎么设陷阱。
I am writing a draft of the speech.	我在寫演講的草稿。
Why did you use up all the money?	为什么你花了所有钱？
Do you deny that you went there?	你否認你去了那裡嗎?
I stay at home on Sundays.	我星期天在家。
Stop reading.	别再念了。
Between you and me, I don't like our new team captain.	我就只告诉你，我不喜欢我们的新队长。
I was vaccinated against the flu.	我接种了流感疫苗。
There isn't any solution.	无解。
Tom can't work this evening.	湯姆今晚不能工作。
He bought a Honda.	他賣了一台豐田的車。
Let's clean our room.	打扫我们的房间吧。
Our fence is made of iron.	我們的欄杆是鐵做的。
It's time to take a bath.	是时候洗个澡了。
It's not as hard as you think.	那个没你想象的那么难。
Where were you last night?	昨天晚上你在哪裡?
You can stay here if you like.	你要是願意就留在這裡。
It is expensive to live in Japan.	生活在日本很昂貴。
It looks like Tom will do what we've asked him to do.	看來湯姆會按我們要求的去做。
I'm very happy.	我很幸福。
It's a matter of life and death.	这是一个生和死的问题。
May I have something to drink?	我可以喝點東西嗎?
I don't want to work under these conditions.	我不想在这些条件下工作。
Do you hear me?	你听得见吗？
My mother is a very good cook.	我媽媽是一個很棒的廚師。
I don't do it anymore.	我已经不再做这个了。
Are you sure Tom is happy?	你確定湯姆高興嗎？
I think that it'll be hot tomorrow.	我觉得明天会很热。
They are proud of their daughter.	他們以他們的女兒為榮。
He doesn't know how to write a letter in English.	他不知道如何用英语写信。
I'm sorry to bother you so often.	一直打扰你不好意思。
I'm not the least bit worried.	我一點也不擔心。
I'm still your friend.	我还是你的朋友。
Tom remained standing as the others sat down.	别人都坐下了，汤姆还站着。
I didn't tell them.	我沒告訴他們。
Get me the newspaper.	去拿一下报纸。
Did Tom actually say that?	汤姆真的那么说了吗？
Don't forget to take a camera.	别忘了带个相机。
I don't know if I can do it.	我不知道我能不能做。
He filled the bottle with water.	他用水装满了瓶子。
He couldn't get the job.	他無法得到這份工作。
Only a few people understood me.	只有一些人了解我。
Are you still at the office?	你還在辦公室裡嗎？
I won't do this again.	我不想再做這個了。
She gave us a vague answer.	她給了我們一個模糊的答案。
He often quotes Milton.	他常引用米爾頓。
It rarely snows in this area.	这片区域很少下雪。
It's difficult to quit smoking.	戒烟难。
Please come to my house.	请来我家吧。
Don't pay any attention to what your father says.	别在意你父亲说的话。
We're at war with Japan.	我們在跟日本打仗。
You're not going in the right direction.	你要南辕北辙了。
Tom did a lot of great things.	汤姆做了许多大事。
Tom told me that he didn't win.	湯姆告訴我他沒贏。
Have you ever been hit by a car?	你被车撞过吗?
Did you have a good time?	你度过愉快的时光了吗？
A fire broke out last night and three houses were burnt down.	昨晚發生了一場火災，三棟房屋被燒毀了。
Tom isn't doing what he's supposed to be doing.	湯姆沒有做他該做的事。
Excuse me.	对不起。
I met an old woman.	我遇见了一位老妇人。
Stay off the grass.	從草地裏出來。
Tom is on good terms with John.	汤姆和约翰关系很好。
He has already had lunch.	他已经吃过午饭了。
Thank you.	谢谢。
Today is one of my friends' birthday.	今天是我一个朋友的生日。
They're 30 minutes behind schedule.	他們的進度較預期慢30分鐘。
Are there any questions?	有什么问题吗？
I didn't pay attention to what they were saying.	他们说了什么，我并不注意。
I'm the one you want.	我就是你要找的人。
While you are reading to me, I can do my sewing.	你读给我听的时候，我就可以做缝纫了。
I went for a walk in the park.	我去公园散了步。
I don't work on Sundays.	我星期天不工作。
I can swim.	我會游泳。
Had I known about it, I would have told you.	如果我知道的话，我早就已经告诉你了。
There will be a math test tomorrow.	明天有一個數學測驗。
He is confronted by many difficulties.	他面臨著許多困難。
Did you bring them?	你把它们带来了么？
Is this really real?	这真是真的吗？
That's really a great idea.	真是个好主意！
I think it's time for me to buy a house.	我想我該是時候買間房子了。
The problem is, he has no money.	问题是他没钱。
If Tom doesn't do what he's supposed to do, please let me know.	如果汤姆没有做他应当做的事，请让我知道。
We had a heavy rain yesterday.	昨天下大雨。
Listen to me, OK?	聽我說，好嗎？
Do you know whether or not she can speak English?	你知道她是否會講英語嗎？
I thought my head would explode.	我觉得我的头要炸了。
Our classroom is very small.	我们的教室非常小。
Out of these cakes, I like this one the best.	这些蛋糕中我最喜欢这个。
He's not at all afraid of snakes.	他一點也不怕蛇。
Tom is very important to me.	汤姆对我来说很重要。
You are as tall as I am.	你和我一样高。
Tom didn't know what Mary thought about it.	汤姆不知道玛丽对它怎么想。
I promised him that I would come today.	我答应他我今天会来。
She was elected chairman of the committee.	她當選為委員會主席。
London, the capital of England, is on the Thames.	英国首都伦敦在泰晤士河畔。
Everyone knows that Tom's French is good.	每个人都知道汤姆的法语很好。
